,Smiles,ID
306,*C(C(C(C*)OC)C(=O)O)C(=O)O,P030192.mol
307,*C(=CCCC*)c1ccc(cc1)OC,P030195.mol
308,*C(=CCCC*)c1ccccc1,P030196.mol
309,*C(=CCCC*)c1ccc(cc1)Cl,P030197.mol
310,*C(=C(*)C)[Si](C)(C)C,P030198.mol
311,*C(C*)CNc1ccc(cc1)[N+](=O)[O-],P034237.mol
312,*C(C*)CNc1ncc(cc1)[N+](=O)[O-],P034238.mol
313,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])C,P034239.mol
314,*C(C*)CNc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F,P034240.mol
315,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],P034241.mol
316,*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,P034359.mol
317,*C1C(CC(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,P034360.mol
318,*C1C(CC(C1)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)CC*,P034361.mol
319,*C(C*)n1cncc1,P034424.mol
320,*C(C(*)(F)F)(OC(C(F)F)F)F,P034596.mol
321,*C(C*)C(=O)c1ccc(cc1)Br,P034597.mol
322,*C(C*)OC(=O)CC1CCCC1,P034603.mol
323,*C(C*)N1C(=O)CCC1,P039005.mol
324,*C1C(C2C(C1)C(C(C2)CC*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,P039028.mol
325,*C(C*)C(=O)O,P040001.mol
326,*C(C*)C(=O)OC,P040002.mol
327,*C(C*)C(=O)OCC,P040003.mol
328,*C(C*)C(=O)OCCC,P040004.mol
329,*C(C*)C(=O)OC(C)C,P040005.mol
330,*C(C*)C(=O)OCCCC,P040006.mol
331,*C(C*)C(=O)OCC(C)C,P040007.mol
332,*C(C*)C(=O)OC(CC)C,P040008.mol
333,*C(C*)C(=O)OC(C)(C)C,P040010.mol
334,*C(C*)C(=O)OCCCCCC,P040011.mol
335,*C(C*)C(=O)OCCCCCCC,P040012.mol
336,*C(C*)C(=O)OCCCCCCCC,P040013.mol
337,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,P040017.mol
338,*C(C*)C(=O)OC1C2(CCC(C1)C2(C)C)C,P040020.mol
339,*C(C*)C(=O)OCC(F)(F)F,P040021.mol
340,*C(C*)C(=O)OCC(C(F)(F)F)(F)F,P040022.mol
341,*C(C*)C(=O)OC(C(F)(F)F)C(F)(F)F,P040023.mol
342,*C(C*)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,P040024.mol
343,*C(C*)C(=O)OCC(C(F)C(F)(F)F)(F)F,P040027.mol
344,*C(C*)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,P040028.mol
345,*C(C*)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,P040030.mol
346,*C(C*)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,P040031.mol
347,*C(C*)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,P040032.mol
348,*C(C*)C(=O)OCCOC,P040034.mol
349,*C(C*)C(=O)OCCOCC,P040035.mol
350,*C(C*)C(=O)OCCCOC,P040036.mol
351,*C(C*)C(=O)OCCCOCC,P040037.mol
352,*C(C*)C(=O)OCCOCC(F)(F)F,P040038.mol
353,*C(C*)C(=O)OCCOC(C(F)F)(F)F,P040039.mol
354,*C(C*)C(=O)OCCOCC(C(C(F)(F)F)(F)F)(F)F,P040040.mol
355,*C(C*)C(=O)OCC(C(OC(F)(F)F)(F)F)(F)F,P040041.mol
356,*C(C*)C(=O)OCC(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,P040042.mol
357,*C(C*)C(=O)OCC(C(OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,P040043.mol
358,*C(C*)(C(=O)O)C,P040047.mol
359,*C(C*)(C(=O)OC)C,P040048.mol
360,*C(C*)(C(=O)OCC)C,P040049.mol
361,*C(C*)(C(=O)OCCC)C,P040050.mol
362,*C(C*)(C(=O)OC(C)C)C,P040051.mol
363,*C(C*)(C(=O)OCCCC)C,P040052.mol
364,*C(C*)(C(=O)OC(CC)C)C,P040053.mol
365,*C(C*)(C(=O)OCC(C)C)C,P040054.mol
366,*C(C*)(C(=O)OC(C)(C)C)C,P040055.mol
367,*C(C*)(C(=O)OCCCCCC)C,P040056.mol
368,*C(C*)(C(=O)OCCCCCCCC)C,P040059.mol
369,*C(C*)(C(=O)OCCCCCCCCCCCC)C,P040060.mol
370,*C(C*)(C(=O)OCCCCCCCCCCCCCC)C,P040061.mol
371,*C(C*)(C(=O)OCCCCCCCCCCCCCCCCCC)C,P040063.mol
372,*C(C*)(C(=O)OC1CCCCC1)C,P040064.mol
373,*C(C*)(C(=O)OC1C(CCCC1)C)C,P040066.mol
374,*C(C*)(C(=O)OC1CCC(CC1)C)C,P040067.mol
375,*C(C*)(C(=O)OC1CC(CCC1)C)C,P040068.mol
376,*C(C*)(C(=O)OC1CC(CC(C1)C)(C)C)C,P040069.mol
377,*C(C*)(C(=O)Oc1ccccc1)C,P040071.mol
378,*C(C*)(C(=O)OCc1ccccc1)C,P040073.mol
379,*C(C*)(C(=O)OCCc1ccccc1)C,P040074.mol
380,*C(C*)(C(=O)OCCF)C,P040081.mol
381,*C(C*)(C(=O)OCCCl)C,P040082.mol
382,*C(C*)(C(=O)OCCBr)C,P040083.mol
383,*C(C*)(C(=O)OCC(F)(F)F)C,P040084.mol
384,*C(C*)(C(=O)OCC(C(F)F)(F)F)C,P040085.mol
385,*C(C*)(C(=O)OC(C(F)(F)F)C(F)(F)F)C,P040088.mol
386,*C(C*)(C(=O)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C,P040097.mol
387,*C(C*)(C(=O)OCc1c(cccc1)Cl)C,P040099.mol
388,*C(C*)(C(=O)OCCO)C,P040102.mol
389,*C(C*)(C(=O)OCC1OCCC1)C,P040106.mol
390,*C(C*)(C(=O)OCc1occc1)C,P040107.mol
391,*C(C*)(C(=O)OCCN(C)C)C,P040112.mol
392,*C(C*)(C(=O)OCCN(CC)CC)C,P040114.mol
393,*C(C*)(C(=O)OC)Cl,P040116.mol
394,*C(C*)(C(=O)OCC)Cl,P040117.mol
395,*C(C*)C(=O)N,P040127.mol
396,*C(C*)C(=O)NC(C)C,P040128.mol
397,*C(C*)C(=O)OC(CC)CC,P040141.mol
398,*C(C*)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,P040145.mol
399,*C(C*)C(=O)OCC(CCCC)CC,P040147.mol
400,*C(C*)C(=O)OCCCCCCCCC,P040148.mol
401,*C(C*)C(=O)OC1CCCCC1,P040149.mol
402,*C(C*)C(=O)OC1CC(CC(C1)C)(C)C,P040150.mol
403,*C(C*)(C(=O)OCCCCCCCCCC)C,P040152.mol
404,*C(C*)(C(=O)OC1C2(CCC(C1)C2(C)C)C)C,P040155.mol
405,*C(C*)(C(=O)OCCC)Cl,P040156.mol
406,*C(C*)(C(=O)OCCCC)Cl,P040157.mol
407,*C(C*)(C(=O)OC)C#N,P040159.mol
408,*C(C*)C(=O)OCC(CC)C,P040160.mol
409,*C(C*)C(=O)OCC(C)(C)C,P040164.mol
410,*C(C*)C(=O)OCCC#N,P040168.mol
411,*C(C*)C(=O)OCF,P040172.mol
412,*C(C*)C(=O)OCCOCCOC(C(F)F)(F)F,P040175.mol
413,*C(C*)C(=O)OCCSC,P040177.mol
414,*C(C*)C(=O)OCCCSC,P040178.mol
415,*C(C*)C(=O)OCCSCC,P040179.mol
416,*C(C*)C(=O)OCCCCSC,P040180.mol
417,*C(C*)C(=O)OCCCSCC,P040181.mol
418,*C(C*)C(=O)OCCSCC#N,P040182.mol
419,*C(C*)C(=O)OCCSCCC#N,P040183.mol
420,*C(C*)C(=O)OCCSCCCC#N,P040184.mol
